disco_type	service
aws:observabilityadmin:s3-table-integration	observabilityadmin
aws:observabilityadmin:telemetry-enrichment	observabilityadmin
aws:observabilityadmin:telemetry-pipelines	observabilityadmin
aws:observabilityadmin:telemetry-rule	observabilityadmin
aws:odb:cloud-autonomous-vm-cluster	odb
aws:odb:cloud-exadata-infrastructure	odb
aws:odb:cloud-vm-cluster	odb
aws:odb:odb-network	odb
aws:odb:odb-peering-connection	odb
aws:omics:configuration	omics
aws:omics:run-group	omics
aws:omics:workflow	omics
aws:opensearchservice:application	opensearchservice
aws:organizations:account	organizations
aws:organizations:ou	organizations
aws:organizations:resource-policy	organizations
aws:osis:pipeline	osis
aws:payment-cryptography:key	payment-cryptography
aws:pca-connector-ad:service-principal-name	pca-connector-ad
aws:pca-connector-ad:template	pca-connector-ad
aws:pca-connector-ad:template-group-access-control-entry	pca-connector-ad
aws:pca-connector-scep:challenge	pca-connector-scep
aws:pca-connector-scep:connector	pca-connector-scep
aws:pcs:cluster	pcs
aws:pcs:compute-node-group	pcs
aws:pcs:queue	pcs
aws:personalize:dataset	personalize
aws:personalize:dataset-group	personalize
aws:personalize:schema	personalize
aws:personalize:solution	personalize
aws:pinpoint:app	pinpoint
aws:pinpoint:email-template	pinpoint
aws:pinpoint:in-app-template	pinpoint
aws:pinpoint:push-template	pinpoint
aws:pinpoint:sms-template	pinpoint
aws:pipes:pipe	pipes
aws:proton:environment-account-connection	proton
aws:proton:environment-template	proton
aws:proton:service-template	proton
aws:qbusiness:application	qbusiness
aws:quicksight:action-connector	quicksight
aws:quicksight:analysis	quicksight
aws:quicksight:custom-permissions	quicksight
aws:quicksight:dashboard	quicksight
aws:quicksight:data-set	quicksight
aws:quicksight:data-source	quicksight
aws:quicksight:folder	quicksight
aws:quicksight:template	quicksight
aws:quicksight:theme	quicksight
aws:quicksight:topic	quicksight
aws:ram:permission	ram
aws:ram:resource-share	ram
aws:rbin:rule	rbin
aws:rds:custom-db-engine-version	rds
aws:rds:db-parameter-group	rds
aws:rds:db-security-group	rds
aws:rds:integration	rds
aws:refactor-spaces:environment	refactor-spaces
aws:rekognition:collection	rekognition
aws:rekognition:project	rekognition
aws:rekognition:stream-processor	rekognition
aws:resource-explorer-2:default-view-association	resource-explorer-2
aws:resource-explorer-2:index	resource-explorer-2
aws:resource-explorer-2:view	resource-explorer-2
aws:resource-groups:group	resource-groups
aws:roles-anywhere:trust-anchor	roles-anywhere
aws:route53-profiles:profile	route53-profiles
aws:route53-profiles:profile-association	route53-profiles
aws:route53-profiles:profile-resource-association	route53-profiles
aws:route53-recovery-control:cluster	route53-recovery-control
aws:route53-recovery-control:control-panel	route53-recovery-control
aws:route53-recovery-control:routing-control	route53-recovery-control
aws:route53-recovery-control:safety-rule	route53-recovery-control
aws:route53-recovery-readiness:cell	route53-recovery-readiness
aws:route53-recovery-readiness:readiness-check	route53-recovery-readiness
aws:route53-recovery-readiness:recovery-group	route53-recovery-readiness
aws:route53-recovery-readiness:resource-set	route53-recovery-readiness
aws:route53:cidr-collection	route53
aws:route53:health-check	route53
aws:route53:hosted-zone	route53
aws:route53globalresolver:access-source	route53globalresolver
aws:route53globalresolver:access-token	route53globalresolver
aws:route53globalresolver:dns-view	route53globalresolver
aws:route53globalresolver:firewall-domain-list	route53globalresolver
aws:route53globalresolver:firewall-rule	route53globalresolver
aws:route53globalresolver:global-resolver	route53globalresolver
aws:route53globalresolver:hosted-zone-association	route53globalresolver
aws:route53resolver:firewall-domain-list	route53resolver
aws:route53resolver:firewall-rule-group	route53resolver
aws:route53resolver:outpost-resolver	route53resolver
aws:route53resolver:resolver-query-logging-config	route53resolver
aws:route53resolver:resolver-rule	route53resolver
aws:rtbfabric:link	rtbfabric
aws:rtbfabric:requester-gateway	rtbfabric
aws:rtbfabric:responder-gateway	rtbfabric
aws:rum:app-monitor	rum
aws:s3-object-lambda:access-point	s3-object-lambda
aws:s3-object-lambda:access-point-policy	s3-object-lambda
aws:s3:access-grants-instance	s3
aws:s3:multi-region-access-point	s3
aws:s3:storage-lens-group	s3
aws:s3express:access-point	s3express
aws:s3files:access-point	s3files
aws:s3files:file-system	s3files
aws:s3files:file-system-policy	s3files
aws:s3files:mount-target	s3files
aws:s3outposts:bucket-policy	s3outposts
aws:s3vectors:index	s3vectors
aws:s3vectors:vector-bucket	s3vectors
aws:s3vectors:vector-bucket-policy	s3vectors
aws:sagemaker:app-image-config	sagemaker
aws:sagemaker:code-repository	sagemaker
aws:sagemaker:notebook-instance-lifecycle-config	sagemaker
aws:sagemaker:project	sagemaker
aws:sagemaker:studio-lifecycle-config	sagemaker
aws:sagemaker:workteam	sagemaker
aws:scheduler:schedule	scheduler
aws:scheduler:schedule-group	scheduler
aws:security-agent:agent-space	security-agent
aws:security-agent:application	security-agent
aws:security-agent:pentest	security-agent
aws:security-agent:target-domain	security-agent
aws:security-lake:aws-log-source	security-lake
aws:security-lake:data-lake	security-lake
aws:security-lake:subscriber	security-lake
aws:service-catalog-app-registry:application	service-catalog-app-registry
aws:service-catalog-app-registry:attribute-group	service-catalog-app-registry
aws:service-catalog-app-registry:attribute-group-association	service-catalog-app-registry
aws:service-catalog-app-registry:resource-association	service-catalog-app-registry
aws:servicediscovery:http-namespace	servicediscovery
aws:servicediscovery:instance	servicediscovery
aws:servicediscovery:private-dns-namespace	servicediscovery
aws:servicediscovery:public-dns-namespace	servicediscovery
aws:servicediscovery:service	servicediscovery
aws:ses:mailmanager-addon-subscription	ses
aws:ses:mailmanager-address-list	ses
aws:ses:mailmanager-relay	ses
aws:ses:mailmanager-rule-set	ses
aws:ses:mailmanager-traffic-policy	ses
aws:ses:receipt-filter	ses
aws:ses:receipt-rule-set	ses
aws:sfn:activity	sfn
aws:shield:drt-access	shield
aws:shield:proactive-engagement	shield
aws:signer:signing-profile	signer
aws:sim-space-weaver:simulation	sim-space-weaver
aws:sms-voice:configuration-set	sms-voice
aws:sms-voice:opt-out-list	sms-voice
aws:sms-voice:phone-number	sms-voice
aws:sms-voice:pool	sms-voice
aws:sms-voice:protect-configuration	sms-voice
aws:sms-voice:sender-id	sms-voice
aws:ssm-contacts:contact	ssm-contacts
aws:ssm-contacts:plan	ssm-contacts
aws:ssm-gui-connect:preferences	ssm-gui-connect
aws:ssm-incidents:response-plan	ssm-incidents
aws:ssm-quick-setup:configuration-manager	ssm-quick-setup
aws:ssm:document	ssm
aws:ssm:maintenance-window	ssm
aws:ssm:patch-baseline	ssm
aws:sso:application	sso
aws:sso:application-assignment	sso
aws:sso:instance-access-control-attribute-configuration	sso
aws:sso:permission-set	sso
aws:support-app:slack-channel-configuration	support-app
aws:support-app:slack-workspace-configuration	support-app
aws:synthetics:canary	synthetics
aws:synthetics:group	synthetics
aws:systems-manager-sap:application	systems-manager-sap
aws:timestream:database	timestream
aws:timestream:influx-db-cluster	timestream
aws:timestream:influx-db-instance	timestream
aws:timestream:scheduled-query	timestream
aws:timestream:table	timestream
aws:transfer:certificate	transfer
aws:transfer:connector	transfer
aws:transfer:profile	transfer
aws:transfer:web-app	transfer
aws:transfer:workflow	transfer
aws:verifiedpermissions:policy-store	verifiedpermissions
aws:voice-id:domain	voice-id
aws:vpclattice:domain-verification	vpclattice
aws:vpclattice:service	vpclattice
aws:vpclattice:service-network	vpclattice
aws:wafv2:ip-set	wafv2
aws:wafv2:regex-pattern-set	wafv2
aws:wafv2:rule-group	wafv2
aws:work-spaces:connection-alias	work-spaces
aws:work-spaces:workspace	work-spaces
aws:work-spaces:workspaces-pool	work-spaces
aws:workspaces-instances:workspace-instance	workspaces-instances
aws:workspaces-thin-client:environment	workspaces-thin-client
aws:workspaces-web:browser-settings	workspaces-web
aws:workspaces-web:data-protection-settings	workspaces-web
aws:workspaces-web:ip-access-settings	workspaces-web
aws:workspaces-web:session-logger	workspaces-web
aws:workspaces-web:trust-store	workspaces-web
aws:workspaces-web:user-settings	workspaces-web
aws:xray:group	xray
aws:xray:resource-policy	xray
aws:xray:sampling-rule	xray
